Anzahl Trainingsfragen,Confidence,Precision,Recall,F-Score
530,0.30777777777777776,0.2777777777777778,0.2777777777777778,0.20476190476190476
540,0.31555555555555553,0.2222222222222222,0.2222222222222222,0.18253968253968253
550,0.2011111111111111,0.18474074074074076,0.18474074074074076,0.12403282403282402
560,0.22111111111111112,0.2041851851851852,0.2041851851851852,0.19269434269434269
570,0.34388888888888897,0.3333333333333333,0.3333333333333333,0.26031746031746034
580,0.28444444444444444,0.24074074074074073,0.24074074074074073,0.25
590,0.2638888888888889,0.2777777777777778,0.2777777777777778,0.23809523809523808
600,0.3161111111111111,0.27177777777777773,0.27177777777777773,0.22169867169867166
610,0.32833333333333337,0.2222222222222222,0.2222222222222222,0.1492063492063492
620,0.32166666666666666,0.3333333333333333,0.3333333333333333,0.26031746031746034
630,0.17666666666666667,0.18148148148148147,0.18148148148148147,0.1665263748597082
640,0.3216666666666667,0.3333333333333333,0.3333333333333333,0.26031746031746034
650,0.3838888888888889,0.2828888888888889,0.2828888888888889,0.21412291412291412
660,0.2449999999999999,0.11622222222222223,0.11622222222222223,0.12047212047212048
670,0.24055555555555552,0.2353395061728395,0.2353395061728395,0.24311490978157646
680,0.3227777777777777,0.3333333333333333,0.3333333333333333,0.26031746031746034
690,0.2688888888888889,0.2828888888888889,0.2828888888888889,0.21412291412291412
700,0.2622222222222222,0.3333333333333333,0.3333333333333333,0.26031746031746034
710,0.28111111111111114,0.2847222222222222,0.2847222222222222,0.29012345679012347
720,0.20555555555555552,0.1851851851851852,0.1851851851851852,0.19805194805194806
730,0.22166666666666662,0.2492877492877493,0.2492877492877493,0.22699685934980052
740,0.2644444444444444,0.27819237147595355,0.27819237147595355,0.23885109599395316
750,0.2694444444444445,0.2777777777777778,0.2777777777777778,0.24444444444444446
760,0.16666666666666666,0.10793650793650794,0.10793650793650794,0.0753567420234087
770,0.26,0.3333333333333333,0.3333333333333333,0.26031746031746034
780,0.27277777777777784,0.24814814814814815,0.24814814814814815,0.2178932178932179
790,0.23166666666666666,0.1111111111111111,0.1111111111111111,0.1111111111111111
800,0.35333333333333333,0.3333333333333333,0.3333333333333333,0.26031746031746034
810,0.14166666666666666,0.07020374588711718,0.07020374588711718,0.07094257178526842
820,0.2577777777777778,0.16666666666666666,0.16666666666666666,0.16666666666666666
830,0.24222222222222223,0.3333333333333333,0.3333333333333333,0.26031746031746034
840,0.2727777777777778,0.3333333333333333,0.3333333333333333,0.26031746031746034
850,0.2816666666666666,0.2546296296296296,0.2546296296296296,0.23253968253968255
860,0.32611111111111113,0.3333333333333333,0.3333333333333333,0.26031746031746034
870,0.25,0.1791851851851852,0.1791851851851852,0.16429928096594765
880,0.28166666666666673,0.2847222222222222,0.2847222222222222,0.25044091710758376
890,0.31777777777777777,0.3014074074074074,0.3014074074074074,0.24190069190069188
